sep 21/16:30:38.546 DEBUG2 : 		

StartSession()

sep 21/16:30:38.546 INFO   : Debug Log(info): Loading the I-jet driver
sep 21/16:30:39.163 DEBUG2 : 		-> ConnectToHardware()
sep 21/16:30:39.163 DEBUG2 : 		-> CreateJetTerminal()
sep 21/16:30:39.163 DEBUG2 : 		<- CreateJetTerminal()
sep 21/16:30:39.163 DEBUG2 : 		-> AcquireSigAPIPtr()
sep 21/16:30:39.163 DEBUG2 : 		  SigAPISetPath('C:\Program Files (x86)\IAR Systems\Embedded Workbench 8.4\arm\bin\jet\bin')
sep 21/16:30:39.166 DEBUG2 : 		<- AcquireSigAPIPtr()
sep 21/16:30:39.166 DEBUG2 : 		-> CreateSigProbe()
sep 21/16:30:39.167 DEBUG2 : 		  SigProbe version: 1.66
sep 21/16:30:39.167 DEBUG2 : 		<- CreateSigProbe()
sep 21/16:30:39.167 DEBUG2 : 		-> SigProbeInit()
sep 21/16:30:39.167 INFO   : Debug Log(info): Probe: Probe SW module ver 1.66

sep 21/16:30:39.167 INFO   : Probe: Probe SW module ver 1.66

sep 21/16:30:39.167 INFO   : Debug Log(info): Probe: Option: trace(None)

sep 21/16:30:39.167 INFO   : Probe: Option: trace(None)

sep 21/16:30:39.167 DEBUG2 : 		<- SigProbeInit()
sep 21/16:30:39.167 DEBUG2 : 		-> ConnectToProbe()
sep 21/16:30:39.168 DEBUG2 : 		  ISigProbe::EnumScan()
sep 21/16:30:39.177 INFO   : Debug Log(info): Probe: Found I-jet, SN=81827

sep 21/16:30:39.177 INFO   : Probe: Found I-jet, SN=81827

sep 21/16:30:39.177 DEBUG2 : 		  scanning finished: found 1 probes
sep 21/16:30:39.179 DEBUG2 : 		    connection Serial No: 81827
sep 21/16:30:39.180 DEBUG2 : 		    connection found probes: 
sep 21/16:30:39.192 INFO   : Debug Log(info): Probe: Opened connection to I-jet:81827

sep 21/16:30:39.192 INFO   : Probe: Opened connection to I-jet:81827

sep 21/16:30:39.228 INFO   : Debug Log(info): Probe: USB connection verified (11823 packets/sec)

sep 21/16:30:39.228 INFO   : Probe: USB connection verified (11823 packets/sec)

sep 21/16:30:39.228 INFO   : Debug Log(info): Probe: I-jet, FW ver 4.2, HW Ver:A

sep 21/16:30:39.228 INFO   : Probe: I-jet, FW ver 4.2, HW Ver:A

sep 21/16:30:39.234 INFO   : Debug Log(info): Probe: None or IJET-MIPI10 adapter detected

sep 21/16:30:39.234 INFO   : Probe: None or IJET-MIPI10 adapter detected

sep 21/16:30:39.234 INFO   : Debug Log(info): Probe: Versions: JTAG=1.87 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=2.45

sep 21/16:30:39.234 INFO   : Probe: Versions: JTAG=1.87 SWO=1.41 A2D=1.74 Stream=1.52 SigCom=2.45

sep 21/16:30:39.234 DEBUG2 : 		<- ConnectToProbe()
sep 21/16:30:39.234 DEBUG2 : 		-> CreateSigEmus()
sep 21/16:30:39.234 DEBUG2 : 		  ISigAPI::CreateInstance('ISigEmu', 'EARM', '')
sep 21/16:30:39.235 DEBUG2 : 		Core 0: sigEmu->LinkAttach(ISigProbe)
sep 21/16:30:39.235 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Emulator', 'ijet')
sep 21/16:30:39.235 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Processor', 'Cortex-M4')
sep 21/16:30:39.235 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagHeader', 'ARM-SWD')
sep 21/16:30:39.235 DEBUG2 : 		  core 0: IsigEmu::ParamSet('CoreSightSWJ', 'SWD')
sep 21/16:30:39.235 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JTagSpeed', 'auto')
sep 21/16:30:39.235 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardCfg', '-auto')
sep 21/16:30:39.235 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
sep 21/16:30:39.235 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BigEndian', '0')
sep 21/16:30:39.235 DEBUG2 : 		  ISigEmu::LinkAttach('SigTerminalLog'...)
sep 21/16:30:39.235 DEBUG2 : 		Core 0: sigEmu->LinkAttach(SigTerminalLog)
sep 21/16:30:39.235 DEBUG2 : 		<- CreateSigEmus()
sep 21/16:30:39.235 DEBUG2 : 		-> CreateInterfaceComProtocol()
sep 21/16:30:39.235 DEBUG2 : 		  ISigProbe::AcquireInterface('ComProtocol')
sep 21/16:30:39.235 DEBUG2 : 		<- CreateInterfaceComProtocol()
sep 21/16:30:39.235 DEBUG2 : 		-> CollectCoreNames()
sep 21/16:30:39.235 DEBUG2 : 		<- CollectCoreNames()
sep 21/16:30:39.235 DEBUG2 : 		-> DoIceConnect()
sep 21/16:30:39.235 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardDID', '')
